Food code;Main food description;Additional food description;WWEIA Category number;WWEIA Category description
55200080;Waffle, whole grain, fruit, frozen;"blueberry; whole wheat; multigrain; bran";4404;Pancakes, waffles, French toast
55200100;Waffle, plain, fast food / restaurant;"Belgian; buttermilk; fast food / restaurant, NFS";4404;Pancakes, waffles, French toast
55200110;Waffle, chocolate, fast food / restaurant;chocolate chips;4404;Pancakes, waffles, French toast
55200120;Waffle, fruit, fast food / restaurant;blueberry;4404;Pancakes, waffles, French toast
55200130;Waffle, whole grain, fast food / restaurant;"whole wheat; multigrain; bran";4404;Pancakes, waffles, French toast
55200200;Waffle, school;;4404;Pancakes, waffles, French toast
55201000;Waffle, plain;"Belgian; buttermilk; homestyle";4404;Pancakes, waffles, French toast
55203000;Waffle, fruit;blueberry;4404;Pancakes, waffles, French toast
55203600;Waffle, chocolate;chocolate chips;4404;Pancakes, waffles, French toast
55203700;Waffle, cinnamon;;4404;Pancakes, waffles, French toast
55205000;Waffle, whole grain;"whole wheat; multigrain; bran";4404;Pancakes, waffles, French toast
55208000;Waffle, gluten free;;4404;Pancakes, waffles, French toast
55300010;French toast, NFS;;4404;Pancakes, waffles, French toast
55300020;French toast, frozen;bites;4404;Pancakes, waffles, French toast
55300050;French toast, fast food / restaurant;;4404;Pancakes, waffles, French toast
55300060;French toast, school;;4404;Pancakes, waffles, French toast
55301000;French toast, plain;;4404;Pancakes, waffles, French toast
55301015;French toast, whole grain;"whole wheat; multigrain";4404;Pancakes, waffles, French toast
55301025;French toast, gluten free;;4404;Pancakes, waffles, French toast
55301031;French toast sticks;frozen;4404;Pancakes, waffles, French toast
55301040;French toast sticks, fast food / restaurant;;4404;Pancakes, waffles, French toast
55301048;French toast sticks, school;;4404;Pancakes, waffles, French toast
55400010;Crepe, NFS;blintz;4404;Pancakes, waffles, French toast
55401000;Crepe, plain;;4404;Pancakes, waffles, French toast
55501000;Chinese pancake;;4404;Pancakes, waffles, French toast
55610300;Dumpling, no meat;steamed bun;4402;Biscuits, muffins, quick breads
55701000;Cake made with glutinous rice;"Japanese rice cake Mochi; Chinese Nian gao / gau or New Year Cake; Filipino Puto cake; Korean Tteok or Duk cake";3202;Rice mixed dishes
55702000;Idli;"Indian steamed rice cake; dried beans";3202;Rice mixed dishes
55702100;Dosa, plain;Indian pancake or crepe;4404;Pancakes, waffles, French toast
55703000;Cake made with glutinous rice and dried beans;Korean Cake 'Injolmi';3202;Rice mixed dishes
55801000;Funnel cake with sugar;;5506;Doughnuts, sweet rolls, pastries
55801010;Funnel cake with sugar and fruit;;5506;Doughnuts, sweet rolls, pastries
56104000;Pasta, vegetable, cooked;"spinach, tomato, tri-color or other vegetable pasta; macaroni, spaghetti, any shape of pasta";4004;Pasta, noodles, cooked grains
56112000;Noodles, cooked;"pastina; egg noodles; NS as to grain type";4004;Pasta, noodles, cooked grains
56113000;Noodles, whole grain, cooked;whole wheat;4004;Pasta, noodles, cooked grains
56116000;Noodles, chow mein;Chinese noodles;5202;Crackers, excludes saltines
56116990;Long rice noodles, made from mung beans, cooked;"transparent noodles; cellophane noodles";4004;Pasta, noodles, cooked grains
56117090;Rice noodles, cooked;Chow fun rice noodles;4004;Pasta, noodles, cooked grains
56130000;Pasta, cooked;"macaroni, spaghetti, any shape of pasta; NS as to grain type; pasta, NFS";4004;Pasta, noodles, cooked grains
56132990;Pasta, whole grain, cooked;"whole wheat; macaroni, spaghetti, any shape of pasta";4004;Pasta, noodles, cooked grains
56140100;Pasta, gluten free;macaroni, spaghetti, any shape of pasta;4004;Pasta, noodles, cooked grains
56200300;Cereal, cooked, NFS;;4804;Grits and other cooked cereals
56200410;Barley;"all liquids; with or without fat";4004;Pasta, noodles, cooked grains
56200510;Buckwheat groats;"kasha; all liquids; with or without fat";4004;Pasta, noodles, cooked grains
56200990;Grits, NFS;;4804;Grits and other cooked cereals
56201050;Grits, regular or quick, made with water, NS as to fat;all liquids;4804;Grits and other cooked cereals
56201051;Grits, regular or quick, made with water, no added fat;all liquids;4804;Grits and other cooked cereals
56201052;Grits, regular or quick, made with water, fat added;all liquids;4804;Grits and other cooked cereals
56201090;Grits, with cheese, NS as to fat;"all cooking types; all liquids";4804;Grits and other cooked cereals
56201091;Grits, with cheese, no added fat;"all cooking types; all liquids";4804;Grits and other cooked cereals
56201092;Grits, with cheese, fat added;"all cooking types; all liquids";4804;Grits and other cooked cereals
56201210;Grits, instant, made with water, no added fat;all liquids;4804;Grits and other cooked cereals
56201220;Grits, instant, made with water, fat added;all liquids;4804;Grits and other cooked cereals
56201230;Grits, instant, made with water, NS as to fat;all liquids;4804;Grits and other cooked cereals
56201515;Cornmeal mush, NS as to fat;"mush, NFS; polenta; all liquids";4804;Grits and other cooked cereals
56201516;Cornmeal mush, no added fat;"mush, NFS; polenta; all liquids";4804;Grits and other cooked cereals
56201517;Cornmeal mush, fat added;"mush, NFS; polenta; all liquids";4804;Grits and other cooked cereals
56201600;Masa harina, cooked;Harina de maize;4804;Grits and other cooked cereals
56202000;Millet;"all liquids; with or without fat";4004;Pasta, noodles, cooked grains
56202900;Oatmeal, fast food, plain;;4802;Oatmeal
56202905;Oatmeal, fast food, flavored;all flavors;4802;Oatmeal
56202960;Oatmeal, NFS;;4802;Oatmeal
56203056;Oatmeal, regular or quick, made with water, no added fat;NS as to liquid;4802;Oatmeal
56203057;Oatmeal, regular or quick, made with water, fat added;NS as to liquid;4802;Oatmeal
56203066;Oatmeal, regular or quick, made with milk, no added fat;;4802;Oatmeal
56203067;Oatmeal, regular or quick, made with milk, fat added;;4802;Oatmeal
56203076;Oatmeal, regular or quick, made with non-dairy milk, no added fat;"almond milk; soy milk";4802;Oatmeal
56203077;Oatmeal, regular or quick, made with non-dairy milk, fat added;"almond milk; soy milk";4802;Oatmeal
56203086;Oatmeal, instant, plain, made with water, no added fat;"instant packet; NS as to liquid";4802;Oatmeal
56203087;Oatmeal, instant, plain, made with water, fat added;"instant packet; NS as to liquid";4802;Oatmeal
56203096;Oatmeal, instant, plain, made with milk, no added fat;instant packet;4802;Oatmeal
56203097;Oatmeal, instant, plain, made with milk, fat added;instant packet;4802;Oatmeal
56203106;Oatmeal, instant, plain, made with non-dairy milk, no added fat;"instant packet; almond milk; soy milk";4802;Oatmeal
56203107;Oatmeal, instant, plain, made with non-dairy milk, fat added;"instant packet; almond milk; soy milk";4802;Oatmeal
56203130;Oatmeal, instant, maple flavored, no added fat;"brown sugar; instant packet; other flavors; NS as to fat";4802;Oatmeal
56203135;Oatmeal, instant, maple flavored, fat added;"brown sugar; instant packet; other flavors";4802;Oatmeal
56203155;Oatmeal, instant, fruit flavored, no added fat;"instant packet; fruit and cream; NS as to fat";4802;Oatmeal
56203160;Oatmeal, instant, fruit flavored, fat added;"instant packet; fruit and cream";4802;Oatmeal
56203555;Oatmeal, reduced sugar;;4802;Oatmeal
56203610;Oatmeal, multigrain;;4802;Oatmeal
56204000;Quinoa, NS as to fat;all liquids;4004;Pasta, noodles, cooked grains
56204005;Quinoa, no added fat;all liquids;4004;Pasta, noodles, cooked grains
56204010;Quinoa, fat added;all liquids;4004;Pasta, noodles, cooked grains
56205000;Rice, cooked, NFS;;4002;Rice
56205001;Rice, white, cooked, NS as to fat;basmati or jasmine rice;4002;Rice
56205002;Rice, white, cooked, made with oil;basmati or jasmine rice;4002;Rice
56205004;Rice, white, cooked, made with butter;"made with animal fat or meat drippings; basmati or jasmine rice";4002;Rice
56205006;Rice, white, cooked, made with margarine;"made with shortening; basmati or jasmine rice";4002;Rice
56205007;Rice, white, cooked, fat added, NS as to fat type;basmati or jasmine rice;4002;Rice
56205008;Rice, white, cooked, no added fat;basmati or jasmine rice;4002;Rice
56205011;Rice, brown, cooked, NS as to fat;;4002;Rice
56205012;Rice, brown, cooked, fat added, made with oil;;4002;Rice
56205014;Rice, brown, cooked, made with butter;made with animal fat or meat drippings;4002;Rice
56205016;Rice, brown, cooked, made with margarine;made with shortening;4002;Rice
56205017;Rice, brown, cooked, fat added, NS as to fat type;;4002;Rice
56205018;Rice, brown, cooked, no added fat;made without fat;4002;Rice
56205050;Cream of rice;cream of rye;4804;Grits and other cooked cereals
56205060;Rice, cooked, with milk;;4002;Rice
56205070;Rice, sweet, cooked with honey;;4002;Rice
56205101;Congee;rice porridge or gruel;4002;Rice
56205130;Yellow rice, cooked, NS as to fat;;4002;Rice
56205150;Yellow rice, cooked, no added fat;;4002;Rice
56205170;Yellow rice, cooked, fat added;;4002;Rice
56205190;Rice, white, cooked, glutinous;"sticky rice; sushi rice";4002;Rice
56205205;Rice, wild, 100%, cooked, NS as to fat;black rice;4002;Rice
56205210;Rice, wild, 100%, cooked, no added fat;black rice;4002;Rice
56205215;Rice, wild, 100%, cooked, fat added;black rice;4002;Rice
56205300;Rice, white and wild, cooked, no added fat;Uncle Ben's Long Grain and Wild Rice flavored, all flavors;4002;Rice
56205310;Rice, brown and wild, cooked, no added fat;;4002;Rice
56205320;Rice, white and wild, cooked, fat added;"flavored white and wild rice, NFS; Uncle Ben's Long Grain and Wild Rice flavored, all flavors";4002;Rice
56205330;Rice, white and wild, cooked, NS as to fat;Uncle Ben's Long Grain and Wild Rice flavored, all flavors;4002;Rice
56205340;Rice, brown and wild, cooked, fat added;;4002;Rice
56205350;Rice, brown and wild, cooked, NS as to fat;;4002;Rice
56205410;Rice, white, cooked with fat, Puerto Rican style;Arroz blanco;4002;Rice
56206990;Cream of wheat, NFS;"farina; all liquids; NS as to regular, quick, or instant";4804;Grits and other cooked cereals
56207016;Cream of wheat, regular or quick, made with water, no added fat;"farina; all liquids; NS as to fat";4804;Grits and other cooked cereals
56207017;Cream of wheat, regular or quick, made with water, fat added;"farina; all liquids";4804;Grits and other cooked cereals
56207030;Cream of wheat, instant, made with water, no added fat;"farina; all liquids; NS as to fat";4804;Grits and other cooked cereals
56207060;Cream of wheat, instant, made with water, fat added;"farina; all liquids";4804;Grits and other cooked cereals
56207110;Bulgur, no added fat;"wheat pilaf; all liquids";4004;Pasta, noodles, cooked grains
56207120;Bulgur, fat added;"wheat pilaf; all liquids";4004;Pasta, noodles, cooked grains
56207130;Bulgur, NS as to fat;"wheat pilaf; all liquids";4004;Pasta, noodles, cooked grains
56207160;Couscous, plain, cooked;;4004;Pasta, noodles, cooked grains
56207200;Whole wheat cereal, cooked;"Wheatena; Zoom; Roman Meal; Maltex; Malt-O-Meal; all liquids";4804;Grits and other cooked cereals
56207370;Wheat cereal, chocolate flavored, cooked;"cocoa wheat cereal; Chocolate Malt-O-Meal";4804;Grits and other cooked cereals
56208500;Oat bran cereal, cooked;all liquids;4804;Grits and other cooked cereals
57100100;Cereal, ready-to-eat, NFS;NS as to cooked or ready-to-eat;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57103100;Cereal, O's, flavored;"Cheerios (except plain, honey nut, multigrain); Oh's; oat cereal";4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57119000;Cereal, crunch;Cap'n Crunch, all types;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57123000;Cereal, O's, plain;"Cheerios; Oh's; oat cereal";4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57124200;Cereal, chocolate puffs;"Cocoa Puffs; Cookie Crisp; Krave; Smores";4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57125000;Cereal, cinnamon toast;Cinnamon Toast Crunch;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57126000;Cereal, chocolate crispy;"Cocoa Krispies; Cocoa Pebbles";4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57132000;Cereal, corn squares;Chex, Corn;4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57134000;Cereal, corn flakes, plain;;4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57137000;Cereal, corn puffs;Kix;4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57151000;Cereal, rice crispy, plain;Rice Krispies;4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57207000;Cereal, bran flakes, plain;"All-Bran; Bran; Grape-Nuts; Fiber One";4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57214000;Cereal, shredded wheat, flavored;"Frosted mini wheats; spoon size";4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57216000;Cereal, rice crispy, flavored;Rice Krispies, all flavors;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57221700;Cereal, fruit rings;"Froot Loops; Apple Jacks";4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57223000;Cereal, fruit crispy;Fruity Pebbles;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57227000;Cereal, granola;Mueslix;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57237100;Cereal, oat bunches;"Honey Bunches of Oats, all types; Oat Blenders";4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57240100;Cereal, corn squares, flavored;"Chex, Honey Nut; Chex, NFS; Golden Grahams";4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57241000;Cereal, O's, honey nut;Cheerios, Honey Nut;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57301600;Cereal, multigrain;"Great Grains; Kashi, NFS; Kashi GOLEAN; Fiber One, flavored";4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57304100;Cereal, oat squares;"Life; Oatmeal Squares; Alpha-Bits";4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57305150;Cereal, frosted oats with marshmallows;"Lucky Charms; Marshmallow Mateys";4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57308400;Cereal, O's, multigrain;Cheerios, Multigrain;4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57329000;Cereal, bran flakes, flavored;raisin bran;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57336000;Cereal, rice squares;Chex, Rice;4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57344000;Cereal, K's, plain;"Special K; Special K Protein";4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57344010;Cereal, K's, flavored;Special K;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57347000;Cereal, flavored puffs;"Corn Pops; Golden Puffs; Honeycomb; Honey Smacks; Trix";4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57348000;Cereal, corn flakes, flavored;"Frosted flakes; Zucaritas";4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57401100;Cereal, O's, NFS;Cheerios, NFS;4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57411000;Cereal, wheat squares;Chex, Wheat;4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57412000;Wheat germ;;9999;Not included in a food category
57416000;Cereal, plain puffs;puffed wheat, rice, or millet;4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57417000;Cereal, shredded wheat, plain;"Mini wheats; spoon size";4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57418000;Cereal, wheat flakes;"Total; Wheaties; wheat cereal";4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57420100;Cereal, other, NFS;OS;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57420110;Cereal, other, plain;OS;4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57420120;Cereal, other, fruit flavored;OS;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57420130;Cereal, other, chocolate;OS;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57420140;Cereal, other, peanut butter;"OS, nuts; peanut butter puffs";4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57420150;Cereal, other, honey;OS, cinnamon, marshmallows;4602;Ready-to-eat cereal, higher sugar (>21.2g/100g)
57420160;Cereal, reduced sugar;;4604;Ready-to-eat cereal, lower sugar (=<21.2g/100g)
57601100;Wheat bran;millers bran;9999;Not included in a food category
57602100;Oats, raw;;9999;Not included in a food category
57602500;Cereal, oat bran, ready-to-eat;;9999;Not included in a food category
57801000;Baby Toddler cereal, barley, dry;fruit;9002;Baby food: cereals
57804000;Baby Toddler cereal, oatmeal, dry;;9002;Baby food: cereals
57805000;Baby Toddler cereal, rice, dry;dry baby cereal, NFS;9002;Baby food: cereals
57805090;Baby Toddler cereal, rice with fruit, dry;;9002;Baby food: cereals
57806000;Baby Toddler cereal, multigrain with fruit, dry;whole wheat;9002;Baby food: cereals
57806050;Baby Toddler cereal, multigrain, dry;whole wheat;9002;Baby food: cereals
57806100;Baby Toddler cereal, oatmeal with fruit, dry;;9002;Baby food: cereals
57820000;Baby Toddler cereal, NFS;;9002;Baby food: cereals
57820100;Baby Toddler cereal, rice, ready-to-eat;;9002;Baby food: cereals
57820200;Baby Toddler cereal, oatmeal, ready-to-eat;ready-to-eat baby cereal, NFS;9002;Baby food: cereals
57820300;Baby Toddler cereal, multigrain, ready-to-eat;"whole wheat; barley";9002;Baby food: cereals
57822000;Baby Toddler cereal, multigrain with fruit, ready-to-eat;"whole wheat; barley";9002;Baby food: cereals
57823000;Baby Toddler cereal, oatmeal with fruit, ready-to-eat;;9002;Baby food: cereals
57824000;Baby Toddler cereal, rice with fruit, ready-to-eat;;9002;Baby food: cereals
58100360;Chilaquiles;"migas; tortilla casserole";3506;Other Mexican mixed dishes
58101830;Frito pie;;3506;Other Mexican mixed dishes
58101835;Mexican pizza;;3506;Other Mexican mixed dishes
58101930;Taco or tostada salad with meat;"Taco Bell Taco Salad; with beef, steak, pork, sausage, and/or chorizo";3502;Burritos and tacos
58101935;Taco or tostada salad with chicken;with turkey;3502;Burritos and tacos
58101940;Taco or tostada salad, meatless;;3502;Burritos and tacos
58101945;Taco or tostada salad with meat and sour cream;with beef, steak, pork, sausage, and/or chorizo;3502;Burritos and tacos
58101950;Taco or tostada salad with chicken and sour cream;with turkey;3502;Burritos and tacos
58101955;Taco or tostada salad, meatless with sour cream;;3502;Burritos and tacos
58102000;Taco, NFS;tostada, NFS;3502;Burritos and tacos
58102010;Taco, corn tortilla, beef, cheese;"tostada; hard taco; steak; any 2 or more meats";3502;Burritos and tacos
58102020;Taco, corn tortilla, beef, with beans, cheese;"tostada; hard taco; steak; any 2 or more meats";3502;Burritos and tacos
58102030;Taco, corn tortilla, pork, cheese;"tostada; hard taco; carnita, chorizo or sausage";3502;Burritos and tacos
58102040;Taco, corn tortilla, pork, with beans, cheese;"tostada; hard taco; carnita, chorizo or sausage";3502;Burritos and tacos
58102050;Taco, corn tortilla, chicken, cheese;"tostada; hard taco; turkey";3502;Burritos and tacos
58102060;Taco, corn tortilla, chicken, with beans, cheese;"tostada; hard taco; turkey";3502;Burritos and tacos
58102070;Taco, corn tortilla, with beans, cheese;"tostada; hard taco; meat substitute";3502;Burritos and tacos
58102110;Taco, flour tortilla, beef, cheese;"soft taco; steak; any 2 or more meats";3502;Burritos and tacos
58102120;Taco, flour tortilla, beef, with beans, cheese;"soft taco; steak; any 2 or more meats";3502;Burritos and tacos
58102130;Taco, flour tortilla, pork, cheese;"soft taco; carnita, chorizo or sausage";3502;Burritos and tacos
58102140;Taco, flour tortilla, pork, with beans, cheese;"soft taco; carnita, chorizo or sausage";3502;Burritos and tacos
58102150;Taco, flour tortilla, chicken, cheese;"soft taco; turkey";3502;Burritos and tacos
58102160;Taco, flour tortilla, chicken, with beans, cheese;"soft taco; turkey";3502;Burritos and tacos
58102170;Taco, flour tortilla, with beans, cheese;"soft taco; meat substitute";3502;Burritos and tacos
58102210;Taco, fish;"tostada; shrimp";3502;Burritos and tacos
58102220;Taco, meat, no cheese;tostada;3502;Burritos and tacos
58102230;Taco, meat, with beans, no cheese;tostada;3502;Burritos and tacos
58102240;Taco, with beans, no cheese;"tostada; meat substitute";3502;Burritos and tacos
58102250;Taco, cheese only;tostada;3502;Burritos and tacos
58102300;Burrito, NFS;;3502;Burritos and tacos
58102310;Burrito, beef, cheese;"steak; any 2 or more meats";3502;Burritos and tacos
58102320;Burrito, beef, with rice, cheese;"steak; any 2 or more meats";3502;Burritos and tacos
58102330;Burrito, beef, with beans, cheese;"steak; any 2 or more meats";3502;Burritos and tacos
58102340;Burrito, beef, with beans and rice, cheese;"steak; any 2 or more meats";3502;Burritos and tacos
58102410;Burrito, pork, cheese;carnita, chorizo or sausage;3502;Burritos and tacos
58102420;Burrito, pork, with rice, cheese;carnita, chorizo or sausage;3502;Burritos and tacos
58102430;Burrito, pork, with beans, cheese;carnita, chorizo or sausage;3502;Burritos and tacos
58102440;Burrito, pork, with beans and rice, cheese;carnita, chorizo or sausage;3502;Burritos and tacos
58102510;Burrito, chicken, cheese;"turkey; fish or shrimp";3502;Burritos and tacos
58102520;Burrito, chicken, with rice, cheese;"turkey; fish or shrimp";3502;Burritos and tacos
58102530;Burrito, chicken, with beans, cheese;"turkey; fish or shrimp";3502;Burritos and tacos
58102540;Burrito, chicken, with beans and rice, cheese;"turkey; fish or shrimp";3502;Burritos and tacos
58102605;Burrito, with beans, no cheese;"meat substitute; rice";3502;Burritos and tacos
58102610;Burrito, with beans, cheese;meat substitute;3502;Burritos and tacos
58102620;Burrito, with beans and rice, cheese;meat substitute;3502;Burritos and tacos
58102630;Burrito, meat, no cheese;;3502;Burritos and tacos
58102640;Burrito, meat, with rice, no cheese;;3502;Burritos and tacos
58102650;Burrito, meat, with beans, no cheese;;3502;Burritos and tacos
58102660;Burrito, meat, with beans and rice, no cheese;;3502;Burritos and tacos
58102680;Burrito, cheese only;;3502;Burritos and tacos
58102700;Burrito bowl, NFS;;3506;Other Mexican mixed dishes
58102710;Burrito bowl, beef or pork;"steak; carnita, chorizo or sausage; cheese";3506;Other Mexican mixed dishes
58102720;Burrito bowl, beef or pork, with rice;"steak; carnita, chorizo or sausage; cheese";3506;Other Mexican mixed dishes
58102730;Burrito bowl, beef or pork, with beans;"steak; carnita, chorizo or sausage; cheese";3506;Other Mexican mixed dishes
58102740;Burrito bowl, beef or pork, with beans and rice;"steak; carnita, chorizo or sausage; cheese";3506;Other Mexican mixed dishes
58102750;Burrito bowl, chicken;"turkey; fish or shrimp; cheese";3506;Other Mexican mixed dishes
58102760;Burrito bowl, chicken, with rice;"turkey; fish or shrimp; cheese";3506;Other Mexican mixed dishes
58102770;Burrito bowl, chicken, with beans;"turkey; fish or shrimp; cheese";3506;Other Mexican mixed dishes
58102780;Burrito bowl, chicken, with beans and rice;"turkey; fish or shrimp; cheese";3506;Other Mexican mixed dishes
58102790;Burrito bowl, with beans;"meat substitute; rice; cheese";3506;Other Mexican mixed dishes
58102800;Enchilada, NFS;;3506;Other Mexican mixed dishes
58102810;Enchilada, beef;"steak; beans; cheese";3506;Other Mexican mixed dishes
58102820;Enchilada, pork;"carnita, chorizo or sausage; beans; cheese";3506;Other Mexican mixed dishes
58102830;Enchilada, chicken;"turkey; fish or shrimp; beans; cheese";3506;Other Mexican mixed dishes
58102840;Enchilada, no meat;cheese;3506;Other Mexican mixed dishes
58103100;Tamale, NFS;;3506;Other Mexican mixed dishes
58103120;Tamale, beef;steak;3506;Other Mexican mixed dishes
58103125;Tamale, pork;carnita, chorizo or sausage;3506;Other Mexican mixed dishes
58103130;Tamale, chicken;"turkey; fish or shrimp";3506;Other Mexican mixed dishes
58103250;Tamale, no meat;;3506;Other Mexican mixed dishes
58103310;Tamale casserole with meat;;3506;Other Mexican mixed dishes
58104105;Nachos, NFS;;3504;Nachos
58104120;Nachos, cheese only;;3504;Nachos
58104130;Nachos, beef or pork;"steak; carnita, chorizo or sausage; cheese";3504;Nachos
58104135;Nachos, beef or pork, with beans;"steak; carnita, chorizo or sausage; cheese";3504;Nachos
58104150;Nachos, chicken;"turkey; fish or shrimp; cheese";3504;Nachos
58104165;Nachos, chicken, with beans;"turkey; fish or shrimp; cheese";3504;Nachos
58104170;Nachos, with beans;"meat substitute; cheese";3504;Nachos
58104255;Gordita, cheese only;"chalupa; sopes";3506;Other Mexican mixed dishes
58104260;Gordita, with beans;"chalupa; sopes; cheese";3506;Other Mexican mixed dishes
58104290;Gordita, meat;"gordita, chalupa, sopes, NFS; cheese";3506;Other Mexican mixed dishes
58104295;Gordita, meat, with beans;"chalupa; sopes; cheese";3506;Other Mexican mixed dishes
58104500;Chimichanga, meat;"chimichanga, NFS; steak; carnita, chorizo or sausage; cheese";3506;Other Mexican mixed dishes
58104520;Chimichanga, with beans;"meat substitute; cheese";3506;Other Mexican mixed dishes
58104530;Chimichanga, chicken;"turkey; fish or shrimp; cheese";3506;Other Mexican mixed dishes
58104700;Quesadilla, NFS;;3506;Other Mexican mixed dishes
58104710;Quesadilla, cheese only;;3506;Other Mexican mixed dishes
58104730;Quesadilla, beef or pork;"steak; carnita, chorizo or sausage; cheese";3506;Other Mexican mixed dishes
58104740;Quesadilla, chicken;"turkey; fish or shrimp; cheese";3506;Other Mexican mixed dishes
58104750;Quesadilla, with vegetables;cheese;3506;Other Mexican mixed dishes
58104760;Quesadilla, beef or pork, with vegetables;"steak; carnita, chorizo or sausage; cheese";3506;Other Mexican mixed dishes
58104770;Quesadilla, chicken, with vegetables;"turkey; fish or shrimp; cheese";3506;Other Mexican mixed dishes
58104780;Quesadilla, egg;cheese;3706;Egg/breakfast sandwiches
58104790;Quesadilla, egg, with meat;cheese;3706;Egg/breakfast sandwiches
58104800;Taquito, cheese only;flauta;3506;Other Mexican mixed dishes
58104825;Taquito, beef or pork;"taquito or flauta, NFS; steak; carnita, chorizo or sausage; cheese";3506;Other Mexican mixed dishes
58104835;Taquito, chicken;"flauta; turkey; fish or shrimp; cheese";3506;Other Mexican mixed dishes
58104900;Taquito, egg;"flauta; with meat; cheese";3706;Egg/breakfast sandwiches
58104990;Fajita, NFS;;3506;Other Mexican mixed dishes
58105000;Fajita, chicken;"turkey; cheese";3506;Other Mexican mixed dishes
58105050;Fajita, beef or pork;"steak; carnita, chorizo or sausage; cheese";3506;Other Mexican mixed dishes
58105060;Fajita, shrimp;"fish; cheese";3506;Other Mexican mixed dishes
58105075;Fajita, vegetable;cheese;3506;Other Mexican mixed dishes
58105100;Pupusa, cheese only;pupusa or arepa, NFS;3506;Other Mexican mixed dishes
58105105;Pupusa, with beans;"arepa; cheese";3506;Other Mexican mixed dishes
58105110;Pupusa, meat;"arepa; cheese";3506;Other Mexican mixed dishes
58105120;Pupusa, meat, with beans;"arepa; cheese";3506;Other Mexican mixed dishes
58106200;Pizza, cheese, from frozen, thin crust;"NS as to toppings; original, medium, flatbread, or NS as to type of crust; homemade or ready-to-bake pizza";3602;Pizza
58106205;Pizza, cheese, from frozen, thick crust;"pan pizza; NS as to toppings; homemade or ready-to-bake pizza; pizza on bagel, English muffin, or French bread; bagel bites";3602;Pizza
58106210;Pizza, cheese, from restaurant or fast food, NS as to type of crust;pizza, NS as to source, topping and crust;3602;Pizza
58106220;Pizza, cheese, from restaurant or fast food, thin crust;"NS as to toppings; flatbread pizza; from street vendor";3602;Pizza
58106225;Pizza, cheese, from restaurant or fast food, medium crust;"NS as to toppings; original or hand-tossed pizza; from street vendor";3602;Pizza
58106230;Pizza, cheese, from restaurant or fast food, thick crust;"pan pizza; NS as to topping; from street vendor; pizza on bagel, English muffin, or French bread";3602;Pizza
58106233;Pizza, cheese, stuffed crust;"with tomatoes; cheese stuffed crust";3602;Pizza
58106234;Pizza, cheese, from school lunch, medium crust;"NS as to toppings; original  or NS as to type of crust";3602;Pizza
58106235;Pizza, cheese, from school lunch, thin crust;"NS as to toppings; flatbread crust";3602;Pizza
58106236;Pizza, cheese, from school lunch, thick crust;"pan pizza; NS as to toppings; pizza on bagel, English muffin, or French bread";3602;Pizza
58106250;Pizza, extra cheese, thin crust;original, hand-tossed, medium, flatbread, or NS as to type of crust;3602;Pizza
